Candidato,Ipsos,Canal,Entrevistas,Fecha 1,Fecha 2
YL,0.17,Canal N,11,1/01/2021,14/03/2021
YL,0.17,Williax,0,1/01/2021,14/03/2021
YL,0.17,RPP,3,1/01/2021,14/03/2021
YL,0.17,ATV,2,1/01/2021,14/03/2021
YL,0.17,Latina,6,1/01/2021,14/03/2021
YL,0.17,TV Peru,3,1/01/2021,14/03/2021
YL,0.17,Panam,2,1/01/2021,14/03/2021
YL,0.17,America,2,1/01/2021,14/03/2021
GF,0.11,Canal N,5,1/01/2021,14/03/2021
GF,0.11,Williax,2,1/01/2021,14/03/2021
GF,0.11,RPP,4,1/01/2021,14/03/2021
GF,0.11,ATV,5,1/01/2021,14/03/2021
GF,0.11,Latina,5,1/01/2021,14/03/2021
GF,0.11,TV Peru,3,1/01/2021,14/03/2021
GF,0.11,Panam,2,1/01/2021,14/03/2021
GF,0.11,America,1,1/01/2021,14/03/2021
RLA,0.09,Canal N,1,1/01/2021,14/03/2021
RLA,0.09,Williax,23,1/01/2021,14/03/2021
RLA,0.09,RPP,1,1/01/2021,14/03/2021
RLA,0.09,ATV,2,1/01/2021,14/03/2021
RLA,0.09,Latina,2,1/01/2021,14/03/2021
RLA,0.09,TV Peru,1,1/01/2021,14/03/2021
RLA,0.09,Panam,1,1/01/2021,14/03/2021
RLA,0.09,America,1,1/01/2021,14/03/2021
KF,0.09,Canal N,2,1/01/2021,14/03/2021
KF,0.09,Williax,4,1/01/2021,14/03/2021
KF,0.09,RPP,1,1/01/2021,14/03/2021
KF,0.09,ATV,0,1/01/2021,14/03/2021
KF,0.09,Latina,1,1/01/2021,14/03/2021
KF,0.09,TV Peru,0,1/01/2021,14/03/2021
KF,0.09,Panam,2,1/01/2021,14/03/2021
KF,0.09,America,2,1/01/2021,14/03/2021
VM,0.08,Canal N,1,1/01/2021,14/03/2021
VM,0.08,Williax,0,1/01/2021,14/03/2021
VM,0.08,RPP,2,1/01/2021,14/03/2021
VM,0.08,ATV,1,1/01/2021,14/03/2021
VM,0.08,Latina,1,1/01/2021,14/03/2021
VM,0.08,TV Peru,0,1/01/2021,14/03/2021
VM,0.08,Panam,1,1/01/2021,14/03/2021
VM,0.08,America,1,1/01/2021,14/03/2021
DU,0.05,Canal N,3,1/01/2021,14/03/2021
DU,0.05,Williax,1,1/01/2021,14/03/2021
DU,0.05,RPP,3,1/01/2021,14/03/2021
DU,0.05,ATV,1,1/01/2021,14/03/2021
DU,0.05,Latina,1,1/01/2021,14/03/2021
DU,0.05,TV Peru,0,1/01/2021,14/03/2021
DU,0.05,Panam,1,1/01/2021,14/03/2021
DU,0.05,America,0,1/01/2021,14/03/2021
HdS,0.05,Canal N,3,1/01/2021,14/03/2021
HdS,0.05,Williax,7,1/01/2021,14/03/2021
HdS,0.05,RPP,1,1/01/2021,14/03/2021
HdS,0.05,ATV,0,1/01/2021,14/03/2021
HdS,0.05,Latina,1,1/01/2021,14/03/2021
HdS,0.05,TV Peru,1,1/01/2021,14/03/2021
HdS,0.05,Panam,4,1/01/2021,14/03/2021
HdS,0.05,America,1,1/01/2021,14/03/2021
JG,0.03,Canal N,2,1/01/2021,14/03/2021
JG,0.03,Williax,0,1/01/2021,14/03/2021
JG,0.03,RPP,4,1/01/2021,14/03/2021
JG,0.03,ATV,1,1/01/2021,14/03/2021
JG,0.03,Latina,2,1/01/2021,14/03/2021
JG,0.03,TV Peru,2,1/01/2021,14/03/2021
JG,0.03,Panam,1,1/01/2021,14/03/2021
JG,0.03,America,1,1/01/2021,14/03/2021
PC,0.03,Canal N,1,1/01/2021,14/03/2021
PC,0.03,Williax,0,1/01/2021,14/03/2021
PC,0.03,RPP,0,1/01/2021,14/03/2021
PC,0.03,ATV,0,1/01/2021,14/03/2021
PC,0.03,Latina,0,1/01/2021,14/03/2021
PC,0.03,TV Peru,0,1/01/2021,14/03/2021
PC,0.03,Panam,0,1/01/2021,14/03/2021
PC,0.03,America,0,1/01/2021,14/03/2021
CA,0.03,Canal N,4,1/01/2021,14/03/2021
CA,0.03,Williax,7,1/01/2021,14/03/2021
CA,0.03,RPP,3,1/01/2021,14/03/2021
CA,0.03,ATV,2,1/01/2021,14/03/2021
